km,brand,model,year,fuel_type,power,cylinder_capacity,transmission,pollution_norm,gearbox,body_type,number_of_doors,color,number_of_seats,color_option,vin,country_of_origin,owned,vehicle_condition,co2_emission,path_images,price,ad_id
96 000 km,BMW,X5,2019,Diesel,265 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,5,Metalizata,,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndxbTY2ODE1eGczNzEtQVVUT1ZJVFJPIn0.gg-TvHgAqAMnA9lMJC6JBiB7gEPflGynKIFpvn2MPt4/image;s=320x240,59 479,6dd61a21-4fd0-49de-9f04-5e90e342480a
362 000 km,Audi,A6,2012,Diesel,204 CP,2 967 cm3,4x4 (automat),Euro 5,Automata,Sedan,5,Negru,5,Metalizata,,Germania,,Second hand,111 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im82dGh1bGc0Zzh1czItQVVUT1ZJVFJPIn0.hYzJn_kHLVrH0d7MDXFLQcEIXoo7iSWlGovWp0Y-a_A/image;s=320x240,10 750,dd2f4bb0-96b7-4c04-827e-998933cea201
57 000 km,Mercedes-Benz,GLC,2020,Benzina,197 CP,1 991 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,5,,Da,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImltNjd4MXZnNWk3ZTItQVVUT1ZJVFJPIn0.8Cuj4K_QgyyvCDTBY4fsqkkzrkI55XDDSuvQOIox4z0/image;s=320x240,37 500,6eda1006-a882-42e9-be8b-df4bba650f61
12 300 km,Porsche,Cayenne Coupe,2022,Hibrid,550 CP,3 996 cm3,,Euro 6,Automata,SUV,5,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im41ZDJ2ZzZxcmd6bzMtQVVUT1ZJVFJPIn0.qbzo2WCIHqGqeBBGPSSatYxYJpvhVhuxUWDG6hTWA9U/image;s=644x461,195 026,37426883-0827-49c6-88fd-b65d997ff6d4
28 000 km,Mini,Cooper SE,2020,Electric,184 CP,,,Euro 6,Automata,Masina mica,3,Gri,5,Mat,Da,Franta,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpxczVtemJzbGE1azEtQVVUT1ZJVFJPIn0.qN29SjUHzdH2KZq4D5dKOxiW4XG_aSo5YCclc2j6_Z0/image;s=320x240,22 900,ddb669b4-a3ec-4066-be17-bf507dbc2b4c
35 800 km,BMW,Seria 3,2020,Diesel,190 CP,1 995 cm3,,,Automata,Sedan,4,Albastru,5,Metalizata,Da,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVtMHQzMXF3cmxscDEtQVVUT1ZJVFJPIn0.2CWzO2Nmvaa-FjR0t-WNZqb8Iu9piuBuflUOZL5KtsY/image;s=320x240,33 000,05659615-8abe-4f7b-8911-2a2aa7cf8762
92 435 km,Nissan,Qashqai,2018,Benzina,115 CP,1 197 cm3,Fata,,Manuala,SUV,4,Negru,5,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im11dG4zYWF6Yzh3Zy1BVVRPVklUUk8ifQ.EZuK99dQvCeaN6jhTIMuzxHjliBTFgRdrqk_f3ID4gE/image;s=320x240,16 749,cd797704-ff8b-4a92-a3bf-d0fdf0806676
56 239 km,BMW,X3,2020,Hibrid,184 CP,1 998 cm3,4x4 (manual),Euro 6,Automata,SUV,5,Albastru,5,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRlYmhqMzU0OGxvNDItQVVUT1ZJVFJPIn0.taMDEBZaedJN4LqBi4MiGNvvk4cjIJdJVgSwiLcNNm0/image;s=644x461,36 950,f2975214-d617-45ef-9eb1-59b8c8ef5ec0
20 km,Toyota,Highlander,2023,Hibrid,190 CP,2 487 cm3,,Euro 6,Automata,SUV,5,Albastru,,Perlat,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVlcWVjNTR1ZHhoMDItQVVUT1ZJVFJPIn0.XXfCs3I8NFYBQLEks6astti9kIODwdK7TQ9-h8SrSlY/image;s=644x461,66 950,0b0ab5b5-bb31-4f5e-958b-40cc02aa79da
74 960 km,Volkswagen,Golf,2019,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Compacta,5,Rosu,5,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpheWZqdDF6YWY1OTItQVVUT1ZJVFJPIn0.9yJzVxN5GdZRnlvaBfXcDe_dLFshzf4CObWAxd-8Fwo/image;s=644x461,15 399,b78865ef-8365-4957-8262-652eec52c450
20 km,Audi,Q5,2023,Diesel,204 CP,1 968 cm3,,Euro 6,Automata,SUV,5,Alb,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNrc3QyMGlicTJtLUFVVE9WSVRSTyJ9.C0PQnNvhsTUXHmxwaLG-u-wSh3U0SiSX94k6tiKnCGw/image;s=644x461,67 675,30ddcc5d-8466-438d-b5e8-8abe0cc71ece
20 km,Audi,Q5,2023,Diesel,204 CP,1 968 cm3,,Euro 6,Automata,SUV,5,Alb,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQwZWY1ZHlieGphcy1BVVRPVklUUk8ifQ.LHEVA2Q7ZDTopTptkje44O2fJECdmwA7o4r6GDx5us0/image;s=644x461,69 799,a1a52eb1-1221-46ab-b151-5177df6090a4
20 km,Audi,Q5,2023,Diesel,204 CP,1 968 cm3,,Euro 6,Automata,SUV,5,Alb,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjQzNGhteXNkbTNhajEtQVVUT1ZJVFJPIn0.QqbS78hiS5WeNfOrBMOaWKNEjrAh8Jqr2AX6ULaXAxY/image;s=644x461,69 496,35bd8209-63df-46dc-81f3-866123682b42
